product_id,product_name,brand_id,brand_name,loves_count,price_usd,primary_category,secondary_category,rating,is_recommended,review_text,review_title,skin_tone,eye_color,skin_type,hair_color
P296415,Overnight Restorative Cream,6018,Algenist,10578,94,Skincare,Moisturizers,4,1,"I like that it�s unscented.  It has a consistency that I like too - on the thick side, I have to use a small spatula to get it out without making a mess, and it applies easily.  You have to use a fair amount but when I wake up my skin feels really smooth.  I use it over a retinoid.  I don�t think it does much for fine lines though.",algenist overnight restorative cream,mediumTan,brown,normal,black
P392945,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,6018,Algenist,10068,118,Skincare,Treatments,4,1,"I love Algenist products and almost always find them to be super effective, but this hasn�t blown me away. This serum does what a Vitamin C serum should but isn�t more powerful than others out there, so I don�t know why it�s so much more expensive. I find Algenist products to be really gentle (but effective) so if you have sensitive skin and looking for a Vitamin C that doesn�t irritate give this a try. I did not pay full price for mine but when it runs out I will not be buying again since other Vitamin C serums work fine for less.",Good not great,light,blue,combination,blonde
P282935,Regenerative Anti-Aging Moisturizer,6018,Algenist,6807,94,Skincare,Moisturizers,4,1,This cream is good but not as good as the lotion that Algenist has apparently stopped making. the regenerative anti-aging line was very good and I think they are making a mistake to discontinue it.,Wish Algenist was not discontinuing these products,light,hazel,combination,blonde
P474809,Blue Algae Vitamin C Skinclarity Brightening Serum,6018,Algenist,6040,72,Skincare,Treatments,4,1,The product works for me however the packaging leaves much to be desired. The blue lid breaks the 1st day. The product should be in a jar without a pump.,Great product - Poor packaging,lightMedium,brown,combination,black
P416552,POWER Recharging Night Pressed Serum,6018,Algenist,10859,95,Skincare,Treatments,5,1,The absolute best product I�ve ever implemented into my skincare routine!,amazing product!,fair,blue,dry,brown
P471000,Algae Niacinamide Moisture Veil,6018,Algenist,4845,65,Skincare,Moisturizers,5,1,"I love this stuff. I�ve tried various niacinamide products all with varying degrees of success but this product instantly makes my skin feel soothed, especially in colder weather/dryer air conditions. My skin feels soothed and supple and is an ideal primer for any moisturizer on top (I love to use it with Origins Soothing Lotion as this doesnt need anything too heavy on top)",great for dry sensitive skin,light,blue,dry,auburn
P480274,GENIUS Liquid Skin Resurfacing 2% BHA Toner,6018,Algenist,4693,40,Skincare,Cleansers,5,1,"I WISH I would have taken before and after pics. I have been on prescription azelaic acid (I don�t tolerate retinol) trying to get rid of the texture on my face - lots of little sebaceous hyperplasia. Within one week of using this every morning, some of those bumps are just GONE and the most stubborn ones are noticeably reduced in size. This does not irritate my skin or make me peel or flake but is obviously extremely effective. Algenist can take all my money for life for this toner!",Must-have for anyone with bumps and texture,light,blue,combination,blonde
P453818,GENIUS Collagen Calming Relief,6018,Algenist,11763,58,Skincare,Moisturizers,5,1,I bought this with the toner as I was looking for a product with Azelaic acid to help with a major rosacea flare up. It was kind of a Hail Mary attempt before I tried medicated creams from the doctor. I cannot believe how well it worked. I wish I had taken before and after photos because I went from those little pimples/pustules/white heads and redness everywhere - to very calm and clear skin.  Would give ten stars if I could. Worth every penny.,Rosacea relief,light,green,combination,brown
P442859,ALIVE Prebiotic Balancing Mask,6018,Algenist,14367,38,Skincare,Masks,5,1,I�m a mask girl - and this is probably one of the best masks I�ve ever used.  I notice a real difference in my skin.,My top mask,fair,green,combination,black
P388262,GENIUS Ultimate Anti-Aging Eye Cream,6018,Algenist,6866,74,Skincare,Eye Care,5,1,I�ve tried a number of eye creams and this is one I keep coming back to. It�s a full-eye cream that is used both under eye and on the lids and over the ocular bone. I often get very dry and crepey in my eyelids and this really moisturizes and keeps going throughout the day even under makeup. No stinging or irritation that often comes with eye creams as well. All around lovely product.,Best all around for the eyes,mediumTan,brown,combination,brown
P457694,Blue Algae Vitamin C Dark Spot Correcting Peel,6018,Algenist,11488,85,Skincare,Treatments,5,1,"I have tried many different brands and most of them cause burning and irritation on my skin. But this one left my skin feel so good when i had it on, after i wash it off, my skin felt very clean and smooth.",the best peeling gel for my skin,lightMedium,brown,combination,black
P447504,AA (Alguronic Acid) Barrier Serum,6018,Algenist,3877,85,Skincare,Treatments,5,1,"Okay, I intentionally held myself off from writing a review after I used the first bottle of this (purchase from Algenist website). Now I�m back at Sephora for my refresh of the product. I weaned myself off the AA after I ran out, and made myself change back to my SC HA intensifier I used to claim as my HG product. The first morning after not using I could tell a difference; my skin was full and looked ruddy like I needed some hydration and exfoliating. I use my HA at night in combination with tretinoin so I should never feel like I wake up and don�t shine. I�m terribly cheap and won�t waste $1. I bought it and I�m using it even if it�s terrible, then when it�s gone I won�t buy it again. So that�s what I did with my last bottle of SC I mustered through. Now I�m back for my AA and am ready to shine like a diamond from now on!!","Trust my trial & error, I did it the hard way!",lightMedium,blue,combination,red
P404169,POWER Advanced Wrinkle Fighter 360° Eye Serum,6018,Algenist,9082,70,Skincare,Eye Care,5,1,I love this serum.  I usually alternate between this serum and the Murad eye serum and I like them both.  A few weeks ago I ran out of this serum and solely used the Murad serum nightly.  I repurchased this Algenist serum and WOW!  After using it for two nights the skin around  my eyes feels tight,This Serum Works!,lightMedium,brown,combination,brown
P404168,POWER Advanced Wrinkle Fighter Moisturizer,6018,Algenist,5169,85,Skincare,Moisturizers,5,1,"It�s a lightweight formula, whipped texture. Goes in smooth and feels great. My skin stays moisturized all day without feeling gross and oily.  I recommend this product to anyone who has sensitive skin like me to normal or dry skin types.  I hope you are as pleased as I am.",Amazing product,lightMedium,brown,combination,black
P433469,ELEVATE Advanced Retinol Serum,6018,Algenist,5451,98,Skincare,Treatments,5,1,"Great for wrinkles AND maskne! I use retinol faithfully in my nightly routine and just switched to Algenist. I�ve used it before and remember liking it. My face feels plump in the morning and it is maintaining all of the previous wrinkle prevention (I�m 51) from my previous product. In addition, it has helped tremendously with the maskne I�ve been experiencing. In fact, it has disappeared completely over the past 3 weeks of use and I wear a mask for 8+ hours a day for my job. It was becoming a horrible issue for me. What a pleasant surprise.  I will definitely replace this when it�s gone.",Great for wrinkles AND maskne,lightMedium,green,dry,blonde
P420638,ELEVATE Advanced Lift Contouring Cream,6018,Algenist,3317,96,Skincare,Moisturizers,5,1,I have been using this cream for about a week now and I definitely see a difference in my fine lines. I�m 34 and fine lines are coming up more frequent then I like but with this cream it definitely has lessened my fine lines and leaves my skin feeling soft. Great under makeup and keeps my skin feeling soft and moisturized. It�s expensive but worth every penny. My skin does not get irritated from using this cream and I have pretty sensitive skin.,REALLY DOES WORK!,mediumTan,brown,combination,brown
P456990,Mini GENIUS Liquid Collagen,6018,Algenist,8900,25,Skincare,Mini Size,4,1,"Love this: got a sample and got the large size. No issue with dropper. Using day and night, I�m 44 w combo skin and fine lines and this has helped a lot. Highly recommend. Thought it was a gimmick but it",Great product,light,green,combination,red
P410809,ELEVATE Firming & Lifting Contouring Eye Cream,6018,Algenist,1957,72,Skincare,Eye Care,5,1,Second time buying this cream.  I wasn�t so sure how good it was working until I switched to it cosmetics eye cream which I felt more hydrated but did not erase wrinkles like the Algernist! I buy this originally in a kit with two other products and loved them all but especially the eye cream.,I had to repeat buy!,mediumTan,hazel,dry,brown
P442860,ALIVE Prebiotic Balancing Moisturizer SPF 15,6018,Algenist,1897,40,Skincare,Moisturizers,5,1,"love this product being using for a while, I suffer of rosacea and this Moisturizer is not irritating my skin at all.",one of my favorite!!,medium,brown,combination,brown
P449164,ELEVATE Firming & Lifting Neck Cream,6018,Algenist,5118,84,Skincare,Moisturizers,5,1,"This is my first review for any product, I just don�t do them. But I felt like I had to leave one for this because I would literally have a near panic attack if they ever stopped making it. It�s hands down the best neck cream I�ve ever used and I�ve tried several high end brands since I entered my 40s. It feels luxurious and soothing when applied. It�s especially helpful right now post chin lipo 2 weeks ago.I like to use a facial spray (like Evian or Caudalie very lightly just prior to use to seal in the moisture of this cream twice daily). It�s incredibly moisturizing and has a very light and clean fragrance (I�m very sensitive to fragrance normally and a lot of neck creams smell way too strong unfortunately). The scent doesn�t stick around because it�s so light which is also nice for others that are sensitive too. It�s definitely a holy grail product for me and I started to notice great improvement in the softness and some firmness after several days of consistent use AM & PM (I�ve been using it for over a year now though and will never go without it). I also love applying to my chest, it�s made great changes there as well. Can�t say enough about how much youth, elasticity (and even clarity on my chest) has improved. However, don�t expect a miracle for firmness. The peptides in the product definitely help but it won�t give you a neck lift or make it feel tight.",Best neck cream EVER!!,fair,brown,combination,brown
P440949,Liquid Gold Exfoliating Treatment with Glycolic acid,6283,Alpha-H,18300,56,Skincare,Treatments,5,1,"I switched to this after I ran out of my L�Or�al glycolic acid serum (which is still great). That was 10% and super effective and fast. However, after using this for about four weeks, my skin is having amazing days every day. This one�s formula  really is special. If you�re on the fence, get the mini and give it a chance. I�m glad I did!","Want perfectly smooth, creamy skin days every day?",light,green,normal,red
P442540,Vitamin A Serum with 0.5% Retinol,6283,Alpha-H,7074,65,Skincare,Treatments,5,1,"This is my second bottle of vitamin A from alpha-h because I love it so much. I�ve tried retinol products before that are way too harsh for my sensitive skin, so this has been a lifesaver and game changer to my skin. My skin is soo much smoother and my complexion has never looked better. A must have!",Vitamin A and Retinol with ZERO irritation,light,blue,dry,blonde
P442539,Vitamin B Serum with 5% Niacinamide and Peptides,6283,Alpha-H,6331,65,Skincare,Treatments,5,1,My go to night serum! I�ve tried so many serums from different brands and keep returning to this. The smell is so herbal and relaxing. Makes my skin feel hydrated and glowy without feeling very sticky. I�ve noticed an evenness to my skin as well.,My go to night serum,fair,blue,dry,brown
P442546,Balancing Cleanser,6283,Alpha-H,3612,38,Skincare,Cleansers,5,1,"I have very fair skin with a lot of redness and some stubborn texture on my cheeks. I would consider my skin dry/normal. When I first tried this cleanser I was surprised by the texture because it felt like a lotion consistency, but once I rinsed and dried my face I was AMAZED. My skin felt like a baby�s butt. I feel like I�ve never been able to find the perfect cleanser for my face, cleansers were always either too harsh or too drying. This is the best cleanser I�ve ever tried, and after a couple weeks of use now, the texture on my cheeks is completely gone and my redness has definitely gone down. GET THIS CLEANSER!",BEST CLEANSER I'VE EVER TRIED.,fair,blue,dry,auburn
P442548,Mini Liquid Gold Exfoliating Treatment with Glycolic Acid,6283,Alpha-H,11971,22,Skincare,Mini Size,5,1,"(For reference I have dry skin with visible pores around my T-zone due to my glasses)I literally purchased this product on a total whim and WOW it literally transformed my skin overnight! I no longer struggle with acne flare-ups, I just have these stubborn blackheads that never seem to go away (especially on my nose). I put this on one night before bed and I woke up and my pores literally shrunk about 50%, even people in my life noticed that my pores were so much smaller! I have no idea why this product isn�t talked about more! I keep recommending it to everyone. :-)",Shrunk my pores overnight!,fair,blue,dry,brown
P442537,Liquid Gold Firming Eye Cream,6283,Alpha-H,3406,82,Skincare,Eye Care,5,1,This eye cream is so cooling and hydrating! The applicator stays so cool and really helps to de-puff my under eyes in the morning. I don�t think I�ll ever purchase another eye cream!,OBSESSED - Best Eye Cream!,fair,brown,combination,brown
P480150,Liquid Gold Midnight Reboot Serum with 14% Glycolic Acid and Tripeptide-5,6283,Alpha-H,3928,105,Skincare,Treatments,5,1,"I�ve never felt more compelled in my life to write a review. This might be my favorite skincare product of all time. It�s truly magical. My skin�s never been softer, clearer, and more luminous. It literally minimized my fine line and gave me a lit-from-within glow. It�s super potent but gentle enough for daily use. Cannot recommend enough.",Fav Product Maybe Ever,light,green,normal,blonde
P442542,Beauty Sleep Power Peel Age-Defying Night Peel,6283,Alpha-H,6057,106,Skincare,Treatments,3,1,I did like this. But when I bought it last year it was $78. when did this price go up so high? I don�t think I would buy it again since the price increased such a huge amount in such a short amount of time. That is insane.,Price increased,fair,blue,combination,black
P442545,Triple Action Cleanser,6283,Alpha-H,2138,38,Skincare,Cleansers,5,1,"This is the BEST, most gentle cleanser I�ve ever used. I finally started to slow down and weed out ingredients that were making my skin sensitive and red. I realized how many products - face washes, moisturizers, everything! - have chemical exfoliants. This product even has it printed on the bottle �no AHAs�. The thyme, aloe, and cucumber have soothed and relaxed my skin so much. I really hope this formula never changes and Sephora sells it forever (I wish it were in stores but I won�t split hairs here). Incredible product.","My first review, truly an incredible product!!",medium,brown,combination,black
P455237,Melt Moisturizer with Bakuchiol and Squalane,6312,alpyn beauty,17458,60,Skincare,Moisturizers,5,1,"I am 52 years old and this is the best moisturizers I�ve ever used. I get a lot of compliments on my skin and I attribute it to Alpyn products, especially the melt moisturizer. It is non-greasy and literally melts into the skin. And I love that it has a retinal alternative. Not to mention that it is clean beauty.",Amazing retinol alternative,fair,green,normal,blonde
P465741,Wild Huckleberry 8-Acid Polishing Peel Mask,6312,alpyn beauty,28060,56,Skincare,Masks,5,1,"Wow this is an amazing chemical exfoliant plus gentle physical exfoliant. I didn�t scrub with wet hands very hard, and mostly used it as a peel mask. I have sensitive, dry, middle aged skin with hormonal acne and I am prone to redness. Normally, I can�t use AHA�s or scrubs because my skin is too sensitive, especially when I use retinol too. I was able to use this and also have laser treatments without any issues. It made my skin super smooth and soft and hydrated, and was more calm and even and glowing. Alpyn Beauty is such a unique combo of natural and effective. Thank you for another great product!!",A new staple,fair,blue,dry,blonde
P472302,Wild Nettle & Niacinamide Instant Firming Serum,6312,alpyn beauty,12209,58,Skincare,Treatments,5,1,I switched to Clean ingredients years ago and so happy to see more companies emerge with safer options; in this case wild crafted ingredients from Jackson Hole Wy.  Effective serum & packaged in a glass bottle,Wild Crafted Ingredients,lightMedium,green,normal,blonde
P455613,Line-Filling Eye Cream with Bakuchiol and Caffeine,6312,alpyn beauty,12740,62,Skincare,Eye Care,5,1,Absolutely LOVE this eye cream. I was hesitant to try at first because I have a really sensitive eye area and have had to return multiple eye products because they have caused reactions on my skin but this has worked like magic and has done an amazing job in helping with my under eye circles. A little bit goes a long way and you just Pat it under your eye and they instantly look and feel hydrated. Amazing.,Must have,lightMedium,brown,combination,blonde
P503197,Juneberry & Collagen Hydrating Cold Cream Cleanser,6312,alpyn beauty,5754,39,Skincare,Cleansers,5,1,"Love this cleanser. It�s removes makeup easily and cleanses my skin gently, leaving it dewy. It also has a cooling sensation and invigorating natural scent.",Obsessed,fair,hazel,dry,brown
P477492,Triple Vitamin C Brightening Bounce Cream Moisturizer,6312,alpyn beauty,7730,49,Skincare,Moisturizers,4,1,"I adore this cream, makes my skin look youthful and dewy, clean ingredients, and pretty packaging. The only drawback I�m having is how this wears under my makeup. I think it looks great, then a few hours later, my chin looks weird and dry. I think I may be using too much, a little bit goes a long way. It also does have a bit of a tackiness while it sets into the skin, which really may be me once again going ham while applying it, lol. The pros definitely outweigh the one con. Even my fine lines were plumped out, including my my perpetually dry undereyes. All in all, I give it 4 stars. Well worth the money.",Dewy and Plumping,light,green,combination,blonde
P455614,Creamy Bubbling Cleanser with Vitamin C & AHAs,6312,alpyn beauty,13297,36,Skincare,Cleansers,5,1,"I had been using YTTP (too drying) and Tatcha (breakouts). I tried this and it�s like heaven! So 9 mos later, I�m buying my second bottle. No breakouts, no drying, just brighter and softer skin.","Brighter, softer skin",fair,blue,combination,red
P455612,Vitamin C & Bearberry Instant Glow Serum,6312,alpyn beauty,10316,59,Skincare,Treatments,4,1,I have been using this serum for the past few weeks and I am thoroughly please.I have combination skin and this serum does an amazing job at hydration without much clogging.I love at how well balanced my skin is becoming.What I am happy most about it the brightness and glow my skin naturally has now.This glow lasts and it�s never greasy.This serum is sorcery I tell you.WORTH EVERY PENNY,Must Buy,olive,brown,combination,black
P483643,Willow & Sweet Agave Plumping Lip Mask,6312,alpyn beauty,12568,28,Skincare,Lip Balms & Treatments,5,1,"Perfect balance of everything. It�s lovely product, not greedy not dry just perfect, i am so glad i made this purchase.",Perfection,tan,brown,dry,black
P505338,Pore Perfecting Liquid Exfoliator with 2% BHA + Borage,6312,alpyn beauty,654,39,Skincare,Cleansers,5,1,"Perfect for my day use routine. It does not make my skin dry, made more shine. I recommended it.",Perfect for my day use routine,medium,hazel,combination,blonde
P481058,Mini Melt Moisturizer with Bakuchiol and Squalane,6312,alpyn beauty,7054,25,Skincare,Moisturizers,5,1,"Right from the first use I fell in love with this creamy texture. So smooth and felt nice to the skin. I heard that sensitive skin would be best to avoid this but I chanced it anyways. And it felt amazing on my dry skin. No sticky or tacky feeling what so ever. Great product, so happy I gave it a chance.",Great creamy product,lightMedium,blue,dry,blonde
P503262,Peel and Plump Skin-Smoothing Duo,6312,alpyn beauty,6469,49,Skincare,Value & Gift Sets,5,1,"This is a deal we deserve in 2022. The mini for both of these are $23 + $25 ($48usd) and you only get 15mL of each (.5oz) however for a buck more, you get double that amount in this duo. I love the mask. It is a SPLURGE for me, so this is such a great deal. My skin is a bit sensitive at times, so I use the mask once a week. In my mask rotation. It is worth the price.",Best deal Alpyn has ever done,fair,blue,combination,blonde
P449150,Hydrating Oil,5746,Anastasia Beverly Hills,4568,45,Skincare,Moisturizers,5,1,I was looking for something to give my skin some glow and am super pleased with how it makes my skin feel/look. It hurts me to say but I knocked the bottle over and spilt most of the contents. I am currently waiting for another in the mail and cannot wait! I use it in my nightly routine and am so happy with the texture as it is not sticky or uncomfortable.,Great buy!!!,fair,brown,oily,brown
P470506,The Cream Cleansing Gel with TFC8 Gentle Cleanser,6356,Augustinus Bader,4123,70,Skincare,Cleansers,5,1,"This cleanser is my favorite. It does exactly what it was made to do; cleanse.  No fragrance, not  much lathering, just cleans without stripping your face.  I love this cleanser and the entire AB line of products.",My new favorite cleanser,medium,brown,normal,black
P470509,The Rich Cream with TFC8 Face Moisturizer,6356,Augustinus Bader,16116,290,Skincare,Moisturizers,5,1,"My skin was getting so dry in the winter and after just one use, this product has transformed my skin tremendously.   I see no dry patches whatsoever.  So soft and smooth. It�s amazing.",A must for dry thirsty skin!,lightMedium,brown,combination,blonde
P470507,The Cream with TFC8 Face Moisturizer,6356,Augustinus Bader,11428,180,Skincare,Moisturizers,5,1,"I was skeptical at first so I tried samples from a Neiman Marcus counter. Holy cow! Not only is this cream �all in one� saving time and space (hello travel friendly!) it also didn�t irritate my VERY sensitive and reactive skin.  I do still layer it over a serum, .",Miracle in a bottle,fairLight,hazel,combination,blonde
P500420,The Light Cream,6356,Augustinus Bader,1389,180,Skincare,Moisturizers,5,1,"Good for oily - combo acne prone skin. My skin feels so soft, smooth and brighter",Great,tan,brown,oily,black
P482510,The Ultimate Soothing Cream,6356,Augustinus Bader,1933,290,Skincare,Moisturizers,5,1,"After the AB Rich Cream was reformulated I developed an allergic reaction to the product. I was so upset because the original formula had given my skin an exquisite glow. I also continued to use it. The reaction became so acute that I had to see a dermatologist. The irony, I purchased the Ultimate Soothing Cream and it completely healed my skin. If you have sensitive skin, mild skin issues, etc. this is one amazing product.",MIRACULOUS!,fair,hazel,dry,auburn
P475907,The Serum with  TFC8,6356,Augustinus Bader,2556,390,Skincare,Treatments,5,1,"Oh my goodness serum is amazing. It melted into my skin, my skin drank it up! I only use it before bed just a couple time a week to conserve due to the price and only after I exfoliate with Dr. Barbara Strum enzyme powder cleanser (you can get a cheaper alternative with same formulation on Amazon - Dr. Babor to try before u splurge) This serum is gold for me. I always rub on my neck and chest any left overs on the backs of my hands. Gotta spread the love with skin care.",Love this serum for a couple times a week,fair,blue,oily,blonde
P475906,The Eye Cream with  TFC8,6356,Augustinus Bader,2922,220,Skincare,Eye Care,5,1,"I received this product for free from Augustinus Bader and Influenster in exchange for my honest review. I have been using this product for the past month. The eye cream packaging is very luxurious and it was a very special experience to open it. The cream itself is in a small tube. The price point of this cream is very high, but I have noticed a huge difference in the fine lines around my eyes since using this product. I am 32 and just starting to see noticeable crows feet. The lines are visibly diminished. Weirdly, I have also received more complements on my skin since using this product. I wish I had taken before and after photos! I love that this product is clean and backed by science. Although it is expensive, I would and have recommended this product to my friends. I will very likely try more of the Augustinus Bader line in the future.",Noticeable Difference!,fair,hazel,combination,blonde
P503926,The Face Cream Mask,6356,Augustinus Bader,684,215,Skincare,Masks,4,1,"I received this from Influenster for free in exchange for an honest review. The product advertises brightening and evening of complexion. My skin definitely appeared brighter, I did not notice any change in lines etc.  but the claims say over a 12 week usage and Influenster did not allow for that amount of time to pass before reviewing.  I will concede that my skin felt softer and �bouncier�. The packaging is super heavy and luxe feeling. But it comes with a spatula that is not only useless, but also not magnetic. Every company that makes a product in a jar should be required to take jot of Farmacy�s spatula or Drink Elephant�s pump. It was kinda ridiculous that for the price, this doesn�t have an elegant solution.",Skin is brighter and bouncier,lightMedium,green,dry,blonde
P470510,Mini The Rich Cream with TFC8 Face Moisturizer,6356,Augustinus Bader,10759,92,Skincare,Mini Size,5,1,I notice reduction in lines and puffiness almost immediately after putting this on. It also gives my skin glow that lasts the whole day. Great for under the make up too.,expensive but good,light,brown,combination,blonde
P470508,Mini The Cream with TFC8 Face Moisturizer,6356,Augustinus Bader,6863,92,Skincare,Mini Size,5,1,"I have been using this regularly for over a year now and I will never go back. I went through a period of terrible acne in the summer of 2021, and the scarring and dark spots that were left after I was able to get it under control were driving me crazy. I tried so many other treatments at all price points and this is the only product I noticed an actual difference. 12/10",I was lost but now am found,fair,blue,normal,blonde
P482661,The Essence,6356,Augustinus Bader,2564,93,Skincare,Treatments,5,1,Can�t live without this!! This whole line has drastically changed my skin.,LOVE!,mediumTan,brown,combination,brown
P502235,The Daily Essential Duo The Cream,6356,Augustinus Bader,2080,305,Skincare,Value & Gift Sets,5,1,This is hands down the best face cream I�ve ever tried for my dry / sensitive skin. Not only did I notice texture and redness reduction after one week but I got compliments asking what I was using! My new holy grail. Definitely pricey but skin care is an investment I�m willing to make and I love that you get the extra travel size!,magic cream,fair,blue,dry,blonde
P504018,The Skin Renewal System,6356,Augustinus Bader,2331,185,Skincare,Value & Gift Sets,5,1,"I first heard about this product when I saw the famed make-up artist Bobbi Brown talking about how she stopped wearing foundation because she has been using it. Then I heard one of the Kardashian sisters talking about it as well. Now I�m not a celebrity crazy person. I understand they are paid to say these things but still I was curious. Bobbi Brown has her own skin care line so for her to unofficially endorse another brand says a lot. But then I saw the price and I was like �uh, that�s okay.�Then 4 months ago I got a sample from Sephora for an order I had placed. I figured it�s free-what�s the worst that can happen. Full discloser I�ve been using Lancome�s Genefique for about 20 years-and I swear by this stuff. I also use SKII�s essence and their night cream-religiously.I will say this product with one use makes my face look like I just had an oxygen facial. If you want to experiment then try this-just use the A.B. The Rich Cream around your eyes only. (Our eyes are the first place where aging starts-around the age of 24-25 years old) This way you have something to compare it to. Now the sample last me about 3 months-I used it every day. So for those who are on the fence because of the steep price-the stuff goes a long way and it�s super concentrated. You only need a tiny bit of it. The pores about my T-zone have shrunk to almost normal size. (I have large pores around my nose from teenage acne. I�ve tried everything to shrink it from laser therapy to prescription Retinol. Nothing seem to quite work) The Rich Cream also has minimize the scars from my nose from surgery I had 2 years ago and the fine lines around my eyes has gotten softer. I now only use the A.B. system. It�s pricy but think of all the hundreds of dollars we all have thrown away trying out products that seem to work for a while or never worked as advertise. I know I have a drawer full of them. I�m telling you-it�s worth the hype! You won�t reget it.",lives up to the hype,light,brown,combination,blonde
P460779,Skinlongevity Long Life Herb Anti-Aging Face Serum,5737,bareMinerals,7614,65,Skincare,Treatments,5,1,"I have been using this serum since it came out - maybe 6-7 years ago. I wake up in the morning seeing brighter more even skin. It improves any breakouts for me. It goes on light and non greasy, you only need 1.5 pumps for your whole face and neck. The only thing I don�t love is, the company has reduced the amount of product you get in each bottle over the years� making the packaging more bulky. They�ve also raised the price. This is a good way to make your loyal customers start shopping for an alternative�",Awesome - been using 6-7 years,lightMedium,hazel,combination,brown
